Date,PRCP,SNOW,099AX,099IN,99EAN,HDD1,CDD1
3/30/1981,0,0,61,47,54,11,0
3/31/1981,0,0,84,48,66,0,1
4/1/1981,0,0,66,47,56.5,8,0
4/2/1981,0,0,78,38,58,7,0
4/3/1981,0.44,0,76,56,66,0,1
4/4/1981,0.39,0,68,43,55.5,9,0
4/5/1981,0,0,49,37,43,22,0
4/6/1981,0,0,58,31,44.5,20,0
4/7/1981,0,0,71,36,53.5,11,0
4/8/1981,0.1,0,64,52,58,7,0
4/9/1981,0.06,0,65,43,54,11,0
4/10/1981,1.33,0,72,47,59.5,5,0
4/11/1981,0.64,0,67,59,63,2,0
4/12/1981,0.13,0,72,57,64.5,0,0
4/13/1981,0.3,0,74,56,65,0,0
4/14/1981,0.22,0,71,42,56.5,8,0
4/15/1981,0,0,58,37,47.5,17,0
4/16/1981,0.05,0,64,42,53,12,0
4/17/1981,0,0,78,54,66,0,1
4/18/1981,0,0,68,50,59,6,0
4/19/1981,0.66,0,54,47,50.5,14,0
4/20/1981,0,0,54,36,45,20,0
4/21/1981,0,0,60,33,46.5,18,0
4/22/1981,0.81,0,64,48,56,9,0
4/23/1981,0,0,61,46,53.5,11,0
4/24/1981,0,0,54,41,47.5,17,0
4/25/1981,0,0,67,37,52,13,0
4/26/1981,0,0,83,53,68,0,3
4/27/1981,0,0,85,59,72,0,7
4/28/1981,0.58,0,83,54,68.5,0,4
4/29/1981,0.19,0,57,50,53.5,11,0
4/30/1981,0.13,0,63,49,56,9,0
5/1/1981,0.07,0,60,44,52,13,0
5/2/1981,0,0,65,42,53.5,11,0
5/3/1981,0,0,74,46,60,5,0
5/4/1981,0,0,77,56,66.5,0,2
5/5/1981,0.79,0,66,45,55.5,9,0
5/6/1981,0,0,58,40,49,16,0
5/7/1981,0,0,62,37,49.5,15,0
5/8/1981,0,0,69,39,54,11,0
5/9/1981,0.33,0,68,55,61.5,3,0
5/10/1981,1.51,0,58,41,49.5,15,0
5/11/1981,0.1,0,48,39,43.5,21,0
5/12/1981,0,0,60,35,47.5,17,0
5/13/1981,0.4,0,58,50,54,11,0
5/14/1981,1.09,0,57,45,51,14,0
5/15/1981,0.02,0,68,45,56.5,8,0
5/16/1981,0,0,72,45,58.5,6,0
5/17/1981,0.37,0,69,53,61,4,0
